"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x67510032","x1330151119897718787",2020-11-21 14:08:34,"BrielTweets","At the park this morning, Rocket growl at a man who wasn’t wearing a mask, and I was so proud. Then she barked at a (masked) guy with a broken foot who was using a scooter, and...🥴","Twitter for iPhone",180,,,,FALSE,FALSE,3,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BrielTweets/status/1330151119897718787","Briel","New York City","NYC living, arts loving, podcast listening, dog-mom to #rocketpup. Tweets are my own.",,FALSE,367,796,12,2108,2870,2009-08-21 03:20:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/67510032/1604234391","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1322881030043389952/dp9K5Y5K_normal.jpg"
"x21158016","x1330033223439699971",2020-11-21 06:20:05,"Go2Tubebular","#Skateboarders SUBSCRIBER to OUR YOUTUBE CHANNEL https://t.co/RdT3bSrawU  
https://t.co/NjhEQSc3kz - #Backflip #Beats #Ben #Bike #Blandford #Blood #Board #Broken #Classic #Comedy #CrashAccident #Crazy #Dead #Death #Dies #Drop #Dying #Extreme #FAIL #Fast #Flip #Funny #Grant https://t.co/KooXRkJ9dp","TubeandBlog",273,,,,FALSE,FALSE,0,0,,,"Skateboarders Backflip Beats Ben Bike Blandford Blood Board Broken Classic Comedy CrashAccident Crazy Dead Death Dies Drop Dying Extreme FAIL Fast Flip Funny Grant",,"tubebular.com/MYYTC tubebular.com/skateboarding-…","https://t.co/RdT3bSrawU https://t.co/NjhEQSc3kz","http://www.tubebular.com/MYYTC https://www.tubebular.com/skateboarding-pro-kills-scooter-kid/tubebular-youtube-channel/","http://pbs.twimg.com/media/EnU6KwoXIAAjtYJ.jpg","https://t.co/KooXRkJ9dp","https://twitter.com/Go2Tubebular/status/1330033223439699971/photo/1","photo","http://pbs.twimg.com/media/EnU6KwoXIAAjtYJ.jpg","https://t.co/KooXRkJ9dp","https://twitter.com/Go2Tubebular/status/1330033223439699971/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Go2Tubebular/status/1330033223439699971","Visit us at Tubebular.com","LOS ANGELES","Subscribe to our YouTube Channel
Visit: https://t.co/wfHAyodFl9","https://t.co/3auQ1j8aXP",FALSE,3072,1482,19,86767,215,2009-02-18 01:54:41,FALSE,"https://t.co/3auQ1j8aXP","http://www.tubebular.com/keto",,"https://pbs.twimg.com/profile_banners/21158016/1602531876","http://abs.twimg.com/images/themes/theme17/bg.gif","http://pbs.twimg.com/profile_images/1089742890916491264/BLgnEQfv_normal.jpg"
"x21158016","x1330068621184405506",2020-11-21 08:40:45,"Go2Tubebular","#Skateboarders SUBSCRIBER to OUR YOUTUBE CHANNEL https://t.co/RdT3bSrawU  
https://t.co/NjhEQSc3kz - #Backflip #Beats #Ben #Bike #Blandford #Blood #Board #Broken #Classic #Comedy #CrashAccident #Crazy #Dead #Death #Dies #Drop #Dying #Extreme #FAIL #Fast #Flip #Funny #Grant","TubeandBlog",273,,,,FALSE,FALSE,0,0,,,"Skateboarders Backflip Beats Ben Bike Blandford Blood Board Broken Classic Comedy CrashAccident Crazy Dead Death Dies Drop Dying Extreme FAIL Fast Flip Funny Grant",,"tubebular.com/MYYTC tubebular.com/skateboarding-…","https://t.co/RdT3bSrawU https://t.co/NjhEQSc3kz","http://www.tubebular.com/MYYTC https://www.tubebular.com/skateboarding-pro-kills-scooter-kid/tubebular-youtube-channel/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Go2Tubebular/status/1330068621184405506","Visit us at Tubebular.com","LOS ANGELES","Subscribe to our YouTube Channel
Visit: https://t.co/wfHAyodFl9","https://t.co/3auQ1j8aXP",FALSE,3072,1482,19,86767,215,2009-02-18 01:54:41,FALSE,"https://t.co/3auQ1j8aXP","http://www.tubebular.com/keto",,"https://pbs.twimg.com/profile_banners/21158016/1602531876","http://abs.twimg.com/images/themes/theme17/bg.gif","http://pbs.twimg.com/profile_images/1089742890916491264/BLgnEQfv_normal.jpg"
"x882769843497205761","x1330050330084732928",2020-11-21 07:28:04,"cappstories","a broken red motorcycle started bouncing carefully while a skateboarder riding a scooter inspected a dropped wallet in front of ((a))((.street_location))","Cheap Bots, Done Quick!",153,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cappstories/status/1330050330084732928","Capp Stories","Mission, San Francisco","True stories from Capp street. By @heyaudy","https://t.co/XpDujaprri",FALSE,19,3,4,29208,0,2017-07-06 01:15:06,FALSE,"https://t.co/XpDujaprri","http://cheapbotsdonequick.com",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/882810644231208960/x7Q1VVMN_normal.jpg"
"x1297593913","x1329946243607433218",2020-11-21 00:34:28,"L_Huddleston","Two years ago this week: a newly-broken toe, a scooter, and unpacking NCTE with @karavaughn_  &amp; the incomparable @barry_gilmore 📚 https://t.co/d2rzAFKNlZ","Twitter for iPhone",133,,,,FALSE,FALSE,4,0,,,,,,,,"http://pbs.twimg.com/media/EnTrCwtXYAAWnSA.jpg","https://t.co/d2rzAFKNlZ","https://twitter.com/L_Huddleston/status/1329946243607433218/photo/1","photo","http://pbs.twimg.com/media/EnTrCwtXYAAWnSA.jpg","https://t.co/d2rzAFKNlZ","https://twitter.com/L_Huddleston/status/1329946243607433218/photo/1",,"x2493573258 x416334314","karavaughn_ barry_gilmore","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/L_Huddleston/status/1329946243607433218","Lauren Huddleston","Memphis, TN","Teacher & @VanderbiltU grad pursuing Triple 'Dore status. Doctoral student interested in school culture & effective teaching. Opinions are my own.",,FALSE,373,384,12,2485,4350,2013-03-25 04:09:28,FALSE,,,,"https://pbs.twimg.com/profile_banners/1297593913/1592061277","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3445060591/fb056738deceb27e16e3f2ec57573a8a_normal.jpeg"
"x20432872","x1329843672289058819",2020-11-20 17:46:53,"GEZZA123","@lunchtimelady I had similar last week, I said yes, I’d broken down on the motorway in my mobility scooter. Then an ice cream van rammed me.  He just kept asking for more details 🤷‍♀️","Twitter for iPhone",168,"x1329459007703150596","x243564305","lunchtimelady",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x243564305","lunchtimelady","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GEZZA123/status/1329843672289058819","GERALDINE NICHOLSON","Lincolnshire","",,FALSE,20,140,0,354,1339,2009-02-09 12:55:03,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/783029278782976001/IAMmltI2_normal.jpg"
"x784863277813796864","x1329791012479377410",2020-11-20 14:17:38,"Joey_Soko","@newrulestweets @MrNathanLambert it’s beyond me why you would think it’s a good idea to let nathan use the scooter in the house, have you not broken enough things already https://t.co/L5fjSTYhij","Twitter for iPhone",137,"x1329484243081318404","x1101106361629323264","newrulestweets",FALSE,FALSE,1,0,,,,,,,,"http://pbs.twimg.com/media/EnRd3mVXcAEIC5K.jpg","https://t.co/L5fjSTYhij","https://twitter.com/Joey_Soko/status/1329791012479377410/photo/1","photo","http://pbs.twimg.com/media/EnRd3mVXcAEIC5K.jpg http://pbs.twimg.com/media/EnRd3m_WMAccEXB.jpg","https://t.co/L5fjSTYhij https://t.co/L5fjSTYhij","https://twitter.com/Joey_Soko/status/1329791012479377410/photo/1 https://twitter.com/Joey_Soko/status/1329791012479377410/photo/1",,"x1101106361629323264 x815675496","newrulestweets MrNathanLambert","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Joey_Soko/status/1329791012479377410","Joey🎸","Free Falling","💎she/her",,FALSE,515,409,14,20305,93286,2016-10-08 21:09:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/784863277813796864/1594560150",,"http://pbs.twimg.com/profile_images/1245363140210110464/zRo5rvxR_normal.jpg"
"x28382545","x1329611727462223872",2020-11-20 02:25:13,"taneill","Using the words “Ponzi” &amp; “Underwater Scooter” in the same sentence may have just broken the internet https://t.co/l9rZvrt1fV","Twitter Web App",105,,,,TRUE,FALSE,0,0,,,,,"twitter.com/zerohedge/stat…","https://t.co/l9rZvrt1fV","https://twitter.com/zerohedge/status/1329610418432708611",,,,,,,,,,,"en","x1329610418432708611","FBI Arrests Ponzi Suspect After Daring Escape On Underwater Scooter https://t.co/cDJDBaiVWJ",2020-11-20 02:20:01,"Zero Hedge Publisher II",134,25,"x18856867","zerohedge","zerohedge",831040,772,408217,"","",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/taneill/status/1329611727462223872","Andy Neill","Lake Havasu City, AZ","Dad, Husband, Outdoorsman, Youth Sports Coach, Colorado River area is home, USAF Parent x3, Proud Patriot 🇺🇸Thoughts are my own","https://t.co/kl7Ns3gbcw",FALSE,502,640,16,2596,29269,2009-04-02 17:46:56,FALSE,"https://t.co/kl7Ns3gbcw","https://www.linkedin.com/in/andyneill/",,"https://pbs.twimg.com/profile_banners/28382545/1440782751","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/801155562557743104/ZOXUvV2I_normal.jpg"
"x441237199","x1329537689083850753",2020-11-19 21:31:01,"RollingWithMax","@rickyberwick Can I have your scooter then as my wheelchair is broken?","Twitter for Android",56,"x1329279342451548160","x14851635","rickyberwick",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x14851635","rickyberwick","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RollingWithMax/status/1329537689083850753","Max ♿","UK","I'm Max, a disabled guy with a good sense of humour, talented and very smart. | My gaming one @procgmax","https://t.co/eQhSCmILvO",FALSE,2766,294,30,4098,2181,2011-12-19 21:55:36,FALSE,"https://t.co/eQhSCmILvO","http://rollingwithmax.co.uk",,"https://pbs.twimg.com/profile_banners/441237199/1551801767","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1321404282915180549/z1pAU6-6_normal.jpg"
"x70435204","x1329526379013169153",2020-11-19 20:46:04,"HeyNell","While on my way here I saw a man wipe out on his electric scooter. He probably has a broken leg (I went to help, but there were enough other people).","Twitter for iPhone",149,"x1329526378090401792","x70435204","HeyNell",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HeyNell/status/1329526379013169153","Ellen McDermott","NYC","Now: https://t.co/DhgOkgTk2w, https://t.co/jFCdx2puSi. Former: @TransAlt, @OpenPlans, @Honeybee_Ltd, BusyInternet. Always: #BlackLivesMatter #StreetsForPeople; #CrashNotAccident.",,FALSE,1815,3182,40,13872,23245,2009-08-31 16:36:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/70435204/1458846849","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1489082180/Photo_on_2011-07-11_at_19.48_normal.jpg"
"x40344619","x1329518882969837568",2020-11-19 20:16:17,"tknight84","That time @Alex8Calvert stole my knee scooter during a meet &amp; greet so I had to have it in the photo op! Meanwhile, Castiel tried to heal my broken foot. It didn’t work. #ThankYouSupernatural https://t.co/zJbtUOjYmE","Twitter for iPhone",195,"x1329518344530259971","x40344619","tknight84",FALSE,FALSE,1,0,,,"ThankYouSupernatural",,,,,"http://pbs.twimg.com/media/EnNmYCtWMAEUH8F.jpg","https://t.co/zJbtUOjYmE","https://twitter.com/tknight84/status/1329518882969837568/photo/1","photo","http://pbs.twimg.com/media/EnNmYCtWMAEUH8F.jpg http://pbs.twimg.com/media/EnNmYCtW4AMFFJm.jpg","https://t.co/zJbtUOjYmE https://t.co/zJbtUOjYmE","https://twitter.com/tknight84/status/1329518882969837568/photo/1 https://twitter.com/tknight84/status/1329518882969837568/photo/1",,"x3171208076","Alex8Calvert","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tknight84/status/1329518882969837568","Tina #AKF #CarryOn","Boston, MA","Auntie, Harvard masters student, member of Team Brandon & SPN family, Moulin Rouge musical Fan-Fan-Fan, Blockhead. Always Keep Fighting!",,FALSE,1642,1642,31,41597,1216,2009-05-15 22:00:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/40344619/1605887163","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1329281994623217664/aE0NRY4M_normal.jpg"
"x1083736875251179520","x1329516750774423565",2020-11-19 20:07:49,"chanreJB","I'm broken you really got him to speak about it even though i know all those media is doing this on purpose like even after what scooter said they kept using the old ones i hate them so much for this","Twitter Web App",199,,,,FALSE,FALSE,8,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/chanreJB/status/1329516750774423565","RAY 🍁 YEOLLIE DAY","She // Her","PRAY 🙏 Super애교 please 🥺

Fan account        backup : @Goyreh",,FALSE,2468,1512,22,25257,177707,2019-01-11 14:46:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/1083736875251179520/1604610488",,"http://pbs.twimg.com/profile_images/1326506010824105984/31n9M-BJ_normal.jpg"
